label,CommandID
0x0110,0x0110
0x0203,0x0203
0x0204,0x0204
0x0205,0x0205
0x0206,0x0206
0x0300,0x0300
0x0301,0x0301
0x0302,0x0302
0x0303,0x0303
0x0304,0x0304
0x0305,0x0305
0x0307,0x0307
0x0308,0x0308
0x0309,0x0309
0x030A,0x030A
0x030B,0x030B
0x030E,0x030E
0x030F,0x030F
0x0410,0x0410
0x0411,0x0411
0x0412,0x0412
0x0413,0x0413
0x0414,0x0414
0x0423,0x0423
0x0424,0x0424
0x0425,0x0425
0x0426,0x0426
0x0426,0x0426
0x0427,0x0427
0x0427,0x0427
0x0428,0x0428
0x0429,0x0429
0x042A,0x042A
0x042B,0x042B
0x042C,0x042C
0x042D,0x042D
0x042E,0x042E
0x0430,0x0430
0x0431,0x0431
0x0432,0x0432
0x0433,0x0433
0x0434,0x0434
0x0435,0x0435
0x0436,0x0436
0x0450,0x0450
0x0451,0x0451
0x0452,0x0452
0x0453,0x0453
0x0454,0x0454
0x0455,0x0455
0x0456,0x0456
0x0457,0x0457
0x0458,0x0458
0x0460,0x0460
0x0461,0x0461
0x0462,0x0462
0x0463,0x0463
0x0464,0x0464
0x0465,0x0465
0x0465,0x0465
0x0466,0x0466
0x0469,0x0469
0x046A,0x046A
0x046B,0x046B
0x046C,0x046C
0x046D,0x046D
0x0472,0x0472
0x0472,0x0472
0x0474,0x0474
0x0475,0x0475
0x047E,0x047E
0x047F,0x047F
0x0480,0x0480
0x0481,0x0481
0x0482,0x0482
0x0483,0x0483
0x0484,0x0484
0x0485,0x0485
0x0486,0x0486
0x048C,0x048C
0x048D,0x048D
0x048E,0x048E
0x04A0,0x04A0
0x04A1,0x04A1
0x04A5,0x04A5
0x04A6,0x04A6
0x04A7,0x04A7
0x04A8,0x04A8
0x04A9,0x04A9
0x04AA,0x04AA
0x04AB,0x04AB
0x04AC,0x04AC
0x04AD,0x04AD
0x04B1,0x04B1
0x04B2,0x04B2
0x04B3,0x04B3
0x04B4,0x04B4
0x04B5,0x04B5
0x04B6,0x04B6
0x04B8,0x04B8
0x04B9,0x04B9
0x04C2,0x04C2
0x04C3,0x04C3
0x04D0,0x04D0
0x04D1,0x04D1
0x04D2,0x04D2
0x04D3,0x04D3
0x04D4,0x04D4
0x04D5,0x04D5
0x04D6,0x04D6
0x04D7,0x04D7
0x04D8,0x04D8
0x04D9,0x04D9
0x04DB,0x04DB
0x05D0,0x05D0
0x05D1,0x05D1
0x0661,0x0661
0x0662,0x0662
0x0663,0x0663
0x0664,0x0664
0x0665,0x0665
0x066C,0x066C
0x0670,0x0670
0x0671,0x0671
0x0672,0x0672
0x0675,0x0675
0x0676,0x0676
0x0677,0x0677
0x0678,0x0678
0x0679,0x0679
0x067A,0x067A
0x067C,0x067C
0x067C,0x067C
0x067D,0x067D
0x067E,0x067E
0x067F,0x067F
0x067F,0x067F
0x067F,0x067F
0x0680,0x0680
0x0681,0x0681
0x0682,0x0682
0x0683,0x0683
0x0683,0x0683
0x0684,0x0684
0x0684,0x0684
0x0685,0x0685
0x0686,0x0686
0x0687,0x0687
0x0688,0x0688
0x068B,0x068B
0x068C,0x068C
0x068D,0x068D
0x068E,0x068E
0x0691,0x0691
0x0692,0x0692
0x0693,0x0693
0x0694,0x0694
0x0695,0x0695
0x0696,0x0696
0x0697,0x0697
0x0698,0x0698
0x0699,0x0699
0x069A,0x069A
0x069B,0x069B
0x069C,0x069C
0x069D,0x069D
0x069E,0x069E
0x069F,0x069F
0x06A0,0x06A0
0x06A1,0x06A1
0x06A2,0x06A2
0x06A3,0x06A3
0x06A4,0x06A4
0x06A5,0x06A5
0x06A6,0x06A6
0x06A7,0x06A7
0x06A8,0x06A8
0x06A9,0x06A9
0x06AA,0x06AA
0x06AB,0x06AB
0x06AC,0x06AC
0x06AD,0x06AD
0x06C1,0x06C1
0x06C2,0x06C2
0x06C3,0x06C3
0x06C4,0x06C4
0x06C5,0x06C5
0x06C6,0x06C6
0x06C7,0x06C7
0x06C8,0x06C8
0x06C9,0x06C9
0x06CA,0x06CA
0x06CB,0x06CB
0x06CC,0x06CC
0x06CD,0x06CD
0x06CE,0x06CE
0x06D2,0x06D2
0x06D6,0x06D6
0x06D9,0x06D9
0x06DA,0x06DA
0x0701,0x0701
0x0703,0x0703
0x0705,0x0705
0x0706,0x0706
0x0707,0x0707
0x0710,0x0710
0x0710,0x0710
0x0711,0x0711
0x0711,0x0711
0x0712,0x0712
0x0712,0x0712
0x0713,0x0713
0x0713,0x0713
0x0714,0x0714
0x0714,0x0714
0x0715,0x0715
0x0715,0x0715
0x0716,0x0716
0x0716,0x0716
0x0717,0x0717
0x0718,0x0718
0x0719,0x0719
0x071A,0x071A
0x071B,0x071B
0x071C,0x071C
0x071D,0x071D
0x071E,0x071E
0x071F,0x071F
0x0720,0x0720
0x0721,0x0721
0x0722,0x0722
0x0723,0x0723
0x0724,0x0724
0x0725,0x0725
0x0726,0x0726
0x0727,0x0727
0x0728,0x0728
0x0729,0x0729
0x072A,0x072A
0x072B,0x072B
0x072C,0x072C
0x072D,0x072D
0x072E,0x072E
0x072F,0x072F
0x0730,0x0730
0x0731,0x0731
0x0732,0x0732
0x0733,0x0733
0x0734,0x0734
0x0735,0x0735
0x0736,0x0736
0x0737,0x0737
0x0738,0x0738
0x0739,0x0739
0x073A,0x073A
0x073B,0x073B
0x073C,0x073C
0x073D,0x073D
0x073E,0x073E
0x0740,0x0740
0x0741,0x0741
0x0742,0x0742
0x0745,0x0745
0x0747,0x0747
0x0748,0x0748
0x0749,0x0749
0x074A,0x074A
0x074B,0x074B
0x074C,0x074C
0x074D,0x074D
0x074E,0x074E
0x074E,0x074E
0x0753,0x0753
0x0754,0x0754
0x0754,0x0754
0x0761,0x0761
0x0762,0x0762
0x0763,0x0763
0x0764,0x0764
0x0765,0x0765
0x0766,0x0766
0x0767,0x0767
0x0768,0x0768
0x0769,0x0769
0x076A,0x076A
0x076B,0x076B
0x076C,0x076C
0x0770,0x0770
0x0771,0x0771
0x0772,0x0772
0x0780,0x0780
0x0782,0x0782
0x0783,0x0783
0x0784,0x0784
0x0785,0x0785
0x0786,0x0786
0x0787,0x0787
0x0788,0x0788
0x0789,0x0789
0x078A,0x078A
0x078B,0x078B
0x078C,0x078C
0x078D,0x078D
0x078E,0x078E
0x078F,0x078F
0x0790,0x0790
0x0791,0x0791
0x0792,0x0792
0x0793,0x0793
0x0794,0x0794
0x0795,0x0795
0x0796,0x0796
0x079A,0x079A
0x079B,0x079B
0x079C,0x079C
0x07A0,0x07A0
0x07A1,0x07A1
0x07A2,0x07A2
0x07A8,0x07A8
0x07A9,0x07A9
0x07AA,0x07AA
0x07B0,0x07B0
0x07B4,0x07B4
0x07B5,0x07B5
0x07B6,0x07B6
0x07B7,0x07B7
0x07B8,0x07B8
0x07B9,0x07B9
0x07C0,0x07C0
0x07C1,0x07C1
0x07C2,0x07C2
0x07C3,0x07C3
0x07C4,0x07C4
0x07C5,0x07C5
0x07C6,0x07C6
0x07C7,0x07C7
0x07C8,0x07C8
0x07D2,0x07D2
0x07D4,0x07D4
0x07D6,0x07D6
0x07D7,0x07D7
0x07E0,0x07E0
0x07E1,0x07E1
0x07E2,0x07E2
0x07E3,0x07E3
0x07E4,0x07E4
0x07E5,0x07E5
0x07E6,0x07E6
0x07E7,0x07E7
0x07E8,0x07E8
0x07E9,0x07E9
0x07EA,0x07EA
0x07EB,0x07EB
0x0804,0x0804
0x0807,0x0807
0x0808,0x0808
0x0809,0x0809
0x080A,0x080A
0x080B,0x080B
0x0811,0x0811
0x0814,0x0814
0x081A,0x081A
0x081C,0x081C
0x081D,0x081D
0x081E,0x081E
0x0821,0x0821
0x0822,0x0822
0x0823,0x0823
0x0824,0x0824
0x0825,0x0825
0x0828,0x0828
0x0829,0x0829
0x082B,0x082B
0x082C,0x082C
0x082D,0x082D
0x0830,0x0830
0x0831,0x0831
0x0832,0x0832
0x0833,0x0833
0x0835,0x0835
0x0836,0x0836
0x0837,0x0837
0x083A,0x083A
0x083B,0x083B
0x083C,0x083C
0x083D,0x083D
0x083E,0x083E
0x083F,0x083F
0x0840,0x0840
0x0841,0x0841
0x0842,0x0842
0x0843,0x0843
0x0844,0x0844
0x0845,0x0845
0x084C,0x084C
0x084D,0x084D
0x0850,0x0850
0x0854,0x0854
0x0855,0x0855
0x0856,0x0856
0x0857,0x0857
0x0858,0x0858
0x0859,0x0859
0x085A,0x085A
0x085B,0x085B
0x085C,0x085C
0x085D,0x085D
0x085F,0x085F
0x0860,0x0860
0x0861,0x0861
0x0862,0x0862
0x0863,0x0863
0x0864,0x0864
0x0865,0x0865
0x0866,0x0866
0x0867,0x0867
0x0868,0x0868
0x0869,0x0869
0x086A,0x086A
0x086B,0x086B
0x086C,0x086C
0x086D,0x086D
0x086E,0x086E
0x086F,0x086F
0x0870,0x0870
0x0871,0x0871
0x0872,0x0872
0x0873,0x0873
0x0874,0x0874
0x0875,0x0875
0x0876,0x0876
0x0877,0x0877
0x0878,0x0878
0x0879,0x0879
0x087A,0x087A
0x087B,0x087B
0x087D,0x087D
0x087E,0x087E
0x087F,0x087F
0x0880,0x0880
0x0881,0x0881
0x0882,0x0882
0x0883,0x0883
0x0884,0x0884
0x0885,0x0885
0x0886,0x0886
0x0887,0x0887
0x0888,0x0888
0x0889,0x0889
0x088A,0x088A
0x088B,0x088B
0x088C,0x088C
0x088D,0x088D
0x088E,0x088E
0x088F,0x088F
0x0890,0x0890
0x0891,0x0891
0x0892,0x0892
0x0893,0x0893
0x0894,0x0894
0x0895,0x0895
0x0896,0x0896
0x0897,0x0897
0x089A,0x089A
0x089B,0x089B
0x089C,0x089C
0x089F,0x089F
0x08A0,0x08A0
0x08A1,0x08A1
0x08A2,0x08A2
0x08A3,0x08A3
0x08A4,0x08A4
0x08A5,0x08A5
0x08A6,0x08A6
0x08A7,0x08A7
0x08A8,0x08A8
0x08A9,0x08A9
0x08AA,0x08AA
0x08AB,0x08AB
0x08AC,0x08AC
0x08B0,0x08B0
0x08B1,0x08B1
0x08B2,0x08B2
0x08B3,0x08B3
0x08B4,0x08B4
0x08B5,0x08B5
0x08B6,0x08B6
0x08B7,0x08B7
0x08B9,0x08B9
0x08BA,0x08BA
0x08BB,0x08BB
0x08BC,0x08BC
0x08BD,0x08BD
0x08BE,0x08BE
0x08BF,0x08BF
0x08C0,0x08C0
0x08C1,0x08C1
0x08C2,0x08C2
0x08C3,0x08C3
0x08C4,0x08C4
0x08C5,0x08C5
0x08C6,0x08C6
0x08C7,0x08C7
0x08C8,0x08C8
0x08CA,0x08CA
0x08CB,0x08CB
0x08CD,0x08CD
0x08CF,0x08CF
0x08D0,0x08D0
0x08D1,0x08D1
0x08D2,0x08D2
0x08D3,0x08D3
0x08D4,0x08D4
0x08D5,0x08D5
0x08D6,0x08D6
0x08D7,0x08D7
0x08D8,0x08D8
0x08D9,0x08D9
0x08DA,0x08DA
0x08DB,0x08DB
0x08DC,0x08DC
0x08DE,0x08DE
0x08E0,0x08E0
0x08E1,0x08E1
0x08E2,0x08E2
0x08E3,0x08E3
0x08E4,0x08E4
0x08E6,0x08E6
0x08E9,0x08E9
0x08EA,0x08EA
0x08EB,0x08EB
0x08EC,0x08EC
0x08ED,0x08ED
0x08F0,0x08F0
0x08F1,0x08F1
0x08F2,0x08F2
0x08F3,0x08F3
0x08F4,0x08F4
0x08F5,0x08F5
0x08F6,0x08F6
0x08F7,0x08F7
0x08F8,0x08F8
0x08FC,0x08FC
0x08FD,0x08FD
0x08FE,0x08FE
0x0901,0x0901
0x0902,0x0902
0x0903,0x0903
0x0904,0x0904
0x0905,0x0905
0x0906,0x0906
0x090A,0x090A
0x090B,0x090B
0x090C,0x090C
0x090D,0x090D
0x090E,0x090E
0x090F,0x090F
0x0910,0x0910
0x0911,0x0911
0x0912,0x0912
0x0913,0x0913
0x0914,0x0914
0x0915,0x0915
0x0916,0x0916
0x0917,0x0917
0x0918,0x0918
0x0919,0x0919
0x091A,0x091A
0x091B,0x091B
0x091C,0x091C
0x091D,0x091D
0x091E,0x091E
0x091F,0x091F
0x0920,0x0920
0x0921,0x0921
0x0922,0x0922
0x0923,0x0923
0x0924,0x0924
0x0925,0x0925
0x0926,0x0926
0x0927,0x0927
0x0928,0x0928
0x0929,0x0929
0x092A,0x092A
0x092B,0x092B
0x092C,0x092C
0x092D,0x092D
0x092E,0x092E
0x092F,0x092F
0x0930,0x0930
0x0931,0x0931
0x0932,0x0932
0x0936,0x0936
0x0937,0x0937
0x0938,0x0938
0x0939,0x0939
0x093A,0x093A
0x093C,0x093C
0x093E,0x093E
0x093F,0x093F
0x0940,0x0940
0x0941,0x0941
0x0942,0x0942
0x0943,0x0943
0x0944,0x0944
0x0945,0x0945
0x0946,0x0946
0x0947,0x0947
0x0948,0x0948
0x0949,0x0949
0x094A,0x094A
0x094B,0x094B
0x094C,0x094C
0x094D,0x094D
0x094E,0x094E
0x0950,0x0950
0x0951,0x0951
0x0952,0x0952
0x0953,0x0953
0x0954,0x0954
0x0955,0x0955
0x0957,0x0957
0x0958,0x0958
0x0959,0x0959
0x095C,0x095C
0x095D,0x095D
0x095E,0x095E
0x0960,0x0960
0x0961,0x0961
0x0962,0x0962
0x096E,0x096E
0x096F,0x096F
0x0970,0x0970
0x0971,0x0971
0x0972,0x0972
0x0976,0x0976
0x0977,0x0977
0x0978,0x0978
0x0979,0x0979
0x097A,0x097A
0x097B,0x097B
0x097C,0x097C
0x097D,0x097D
0x097E,0x097E
0x097F,0x097F
0x0980,0x0980
0x0981,0x0981
0x0982,0x0982
0x0983,0x0983
0x0984,0x0984
0x0985,0x0985
0x0986,0x0986
0x0987,0x0987
0x0988,0x0988
0x0989,0x0989
0x098A,0x098A
0x098B,0x098B
0x098D,0x098D
0x098E,0x098E
0x098F,0x098F
0x0993,0x0993
0x0996,0x0996
0x0997,0x0997
0x0998,0x0998
0x0999,0x0999
0x099A,0x099A
0x099B,0x099B
0x099C,0x099C
0x099D,0x099D
0x099E,0x099E
0x099F,0x099F
0x099F,0x099F
0x09A0,0x09A0
0x09A1,0x09A1
0x09A2,0x09A2
0x09A3,0x09A3
0x09A4,0x09A4
0x09A5,0x09A5
0x09A9,0x09A9
0x09AA,0x09AA
0x09AB,0x09AB
0x09AC,0x09AC
0x09AD,0x09AD
0x09AE,0x09AE
0x09AF,0x09AF
0x09B0,0x09B0
0x09B1,0x09B1
0x09B2,0x09B2
0x09B5,0x09B5
0x09B6,0x09B6
0x09B7,0x09B7
0x09B8,0x09B8
0x09B9,0x09B9
0x09BA,0x09BA
0x09BB,0x09BB
0x09BC,0x09BC
0x09BD,0x09BD
0x09BE,0x09BE
0x09BF,0x09BF
0x09C0,0x09C0
0x09C1,0x09C1
0x09C2,0x09C2
0x09C3,0x09C3
0x09C4,0x09C4
0x09C8,0x09C8
0x09C9,0x09C9
0x09CA,0x09CA
0x09D0,0x09D0
0x09D1,0x09D1
0x09D3,0x09D3
0x09D4,0x09D4
0x09D5,0x09D5
0x09D6,0x09D6
0x09D7,0x09D7
0x09D8,0x09D8
0x09D9,0x09D9
0x09DA,0x09DA
0x09DB,0x09DB
0x09DC,0x09DC
0x09DE,0x09DE
0x09DF,0x09DF
0x09E0,0x09E0
0x09E1,0x09E1
0x09E2,0x09E2
0x09E3,0x09E3
0x09E4,0x09E4
0x09E6,0x09E6
0x09E7,0x09E7
0x09E8,0x09E8
0x09E9,0x09E9
0x09EA,0x09EA
0x09EB,0x09EB
0x09F0,0x09F0
0x09F1,0x09F1
0x09F2,0x09F2
0x09F3,0x09F3
0x09F6,0x09F6
